adsorbate,bob_0,bob_1,bob_2,bob_3,bob_4,bob_5,bob_6,bob_7,bob_8,bob_9,bob_10,bob_11,bob_12,bob_13,bob_14,bob_15,bob_16,bob_17,bob_18,bob_19,bob_20,bob_21,bob_22,bob_23,bob_24,bob_25,bob_26,bob_27,bob_28,bob_29,bob_30,bob_31,bob_32,bob_33,bob_34,bob_35,bob_36,bob_37,bob_38,bob_39,bob_40,bob_41,bob_42,bob_43,bob_44,bob_45,bob_46,bob_47,bob_48,bob_49,bob_50,bob_51,bob_52,bob_53,bob_54,bob_55,bob_56,bob_57,bob_58,bob_59,bob_60,bob_61,bob_62,bob_63,bob_64,bob_65,bob_66,bob_67,bob_68,bob_69,bob_70,bob_71,bob_72,bob_73,bob_74,bob_75,bob_76,bob_77,bob_78,bob_79,bob_80,bob_81,bob_82,bob_83,bob_84,bob_85,bob_86,bob_87,bob_88,bob_89,bob_90,bob_91,bob_92,bob_93,bob_94,bob_95,bob_96,bob_97,bob_98,bob_99,bob_100,bob_101,bob_102,bob_103,bob_104,bob_105,bob_106,bob_107,bob_108,bob_109,bob_110,bob_111,bob_112,bob_113,bob_114,bob_115,bob_116,bob_117,bob_118,bob_119,bob_120,bob_121,bob_122,bob_123,bob_124,bob_125,bob_126,bob_127,bob_128,bob_129,bob_130,bob_131,bob_132,bob_133,bob_134,bob_135,bob_136,bob_137,bob_138,bob_139,bob_140,bob_141,bob_142,bob_143,bob_144,bob_145,bob_146,bob_147,bob_148,bob_149,bob_150,bob_151,bob_152,bob_153,bob_154,bob_155,bob_156,bob_157,bob_158,bob_159,bob_160,bob_161,bob_162,bob_163,bob_164,bob_165,bob_166,bob_167,bob_168,bob_169,bob_170,bob_171,bob_172,bob_173,bob_174,bob_175,bob_176,bob_177,bob_178,bob_179,bob_180,bob_181,bob_182,bob_183,bob_184,bob_185,bob_186,bob_187,bob_188,bob_189,bob_190,bob_191,bob_192,bob_193,bob_194,bob_195
A01,36.8581052,36.8581052,36.8581052,73.51669472,73.51669472,73.51669472,7.392316622,7.392316622,12.46229245,12.46229245,12.49264369,12.49264369,9.128139373,9.128139373,9.253072221,9.253072221,12.51376528,12.51376528,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,8.195386398,8.195386398,8.77673776,8.77673776,10.23780888,10.23780888,10.37402258,10.37402258,10.4260716,10.4260716,10.62457565,10.62457565,17.50395598,17.50395598,17.63992216,17.63992216,18.09994075,18.09994075,0.903178064,0.903178064,0.907603425,0.907603425,0.917234148,0.917234148,0.99116805,0.99116805,1.082210903,1.082210903,1.109127639,1.109127639,1.133897837,1.133897837,1.160730606,1.160730606,1.232974672,1.232974672,1.280968224,1.280968224,1.462209123,1.462209123,1.464659796,1.464659796,1.469897533,1.469897533,1.474790167,1.474790167,1.478881451,1.478881451,1.480016745,1.480016745,1.595273939,1.595273939,1.622488838,1.622488838,1.631959284,1.631959284,2.750384507,2.750384507,2.874124166,2.874124166,2.880198295,2.880198295,2.880758495,2.880758495,2.883979123,2.883979123,0.970355991,0.970355991,1.033391234,1.033391234,1.058223245,1.058223245,1.067742584,1.067742584,1.073592869,1.073592869,1.102041423,1.102041423,1.160649752,1.160649752,1.360560874,1.360560874,1.377130175,1.377130175,1.513842099,1.513842099,1.535182435,1.535182435,1.580828819,1.580828819,1.600697302,1.600697302,1.610936789,1.610936789,1.621551303,1.621551303,2.012848364,2.012848364,2.033967392,2.033967392,2.044705417,2.044705417,2.055313724,2.055313724,2.063398569,2.063398569,2.32445701,2.32445701,4.222760991,4.222760991,4.264251402,4.264251402,4.315215276,4.315215276,0.113108697,0.113108697,0.120079911,0.120079911,0.12275092,0.12275092,0.123857112,0.123857112,0.135540662,0.135540662,0.136419,0.136419,0.137829814,0.137829814,0.148518731,0.148518731,0.153371593,0.153371593,0.155385016,0.155385016,0.160737229,0.160737229,0.166743716,0.166743716,0.171813775,0.171813775,0.172092754,0.172092754,0.186079148,0.186079148,0.186646889,0.186646889,0.191044801,0.191044801,0.193590145,0.193590145,0.200411468,0.200411468,0.206659797,0.206659797,0.209760722,0.209760722,0.220177986,0.220177986,0.221458953,0.221458953,0.238599581,0.238599581,0.241468994,0.241468994,0.242197512,0.242197512,0.293362014,0.293362014,0.294648104,0.294648104
A02,36.8581052,36.8581052,36.8581052,73.51669472,73.51669472,73.51669472,7.567202421,7.567202421,12.36025354,12.36025354,12.37653922,12.37653922,9.158992104,9.158992104,9.423037595,9.423037595,12.50952609,12.50952609,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,8.247760178,8.247760178,8.96929384,8.96929384,10.14428798,10.14428798,10.16715568,10.16715568,10.61497724,10.61497724,10.97552829,10.97552829,17.52685488,17.52685488,17.73988835,17.73988835,18.11450258,18.11450258,0.911687501,0.911687501,0.912872108,0.912872108,0.913554601,0.913554601,0.991897387,0.991897387,1.074130759,1.074130759,1.123559231,1.123559231,1.187304128,1.187304128,1.199446983,1.199446983,1.230782388,1.230782388,1.251793837,1.251793837,1.448775719,1.448775719,1.452317149,1.452317149,1.47206413,1.47206413,1.4907777,1.4907777,1.605809521,1.605809521,1.619382041,1.619382041,1.633650431,1.633650431,2.861688112,2.861688112,2.872582162,2.872582162,2.874874748,2.874874748,2.876120112,2.876120112,0,0,0,0,0,0,0.962654966,0.962654966,1.023716871,1.023716871,1.058648811,1.058648811,1.062947942,1.062947942,1.080406931,1.080406931,1.103948913,1.103948913,1.169048038,1.169048038,1.351372245,1.351372245,1.458925322,1.458925322,1.567094541,1.567094541,1.594590489,1.594590489,1.595930334,1.595930334,1.796234188,1.796234188,2.009938659,2.009938659,2.048084132,2.048084132,2.051630753,2.051630753,2.076118531,2.076118531,2.30314324,2.30314324,4.220763189,4.220763189,4.237065075,4.237065075,4.250309566,4.250309566,0,0,0,0,0,0,0.108568848,0.108568848,0.117735675,0.117735675,0.12187134,0.12187134,0.12228342,0.12228342,0.140650081,0.140650081,0.141148061,0.141148061,0.142303025,0.142303025,0.14942559,0.14942559,0.152828436,0.152828436,0.158539671,0.158539671,0.166039232,0.166039232,0.169905509,0.169905509,0.185641548,0.185641548,0.188113303,0.188113303,0.209473104,0.209473104,0.210118078,0.210118078,0.227410987,0.227410987,0.236902655,0.236902655,0.240732718,0.240732718,0.293155887,0.293155887,0.294750323,0.294750323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A03,36.8581052,36.8581052,36.8581052,73.51669472,73.51669472,73.51669472,7.169301931,7.169301931,12.29067147,12.29067147,12.37059125,12.37059125,9.13352963,9.13352963,9.82711173,9.82711173,10.1025269,10.1025269,0.5,0.5,0.5,0.5,0.5,0.5,0,0,7.369390255,7.369390255,8.706864972,8.706864972,9.821799714,9.821799714,10.18082536,10.18082536,10.66357306,10.66357306,10.86926776,10.86926776,17.71321157,17.71321157,17.90511962,17.90511962,18.26933168,18.26933168,0.902533277,0.902533277,0.955082913,0.955082913,0.985526315,0.985526315,0.995177008,0.995177008,1.047073061,1.047073061,1.129545629,1.129545629,1.142512701,1.142512701,1.14743936,1.14743936,1.195344112,1.195344112,1.462920872,1.462920872,1.478358751,1.478358751,1.483793561,1.483793561,1.595107651,1.595107651,1.613554831,1.613554831,1.632226043,1.632226043,2.87235529,2.87235529,2.886267072,2.886267072,2.889397431,2.889397431,0,0,0,0,0,0,0,0,0,0,0,0,0.973121348,0.973121348,0.9835736,0.9835736,1.033498334,1.033498334,1.06060098,1.06060098,1.066970565,1.066970565,1.08991454,1.08991454,1.39706586,1.39706586,1.50409935,1.50409935,1.562062195,1.562062195,1.579788558,1.579788558,1.727235349,1.727235349,1.853528524,1.853528524,2.042549104,2.042549104,2.091178624,2.091178624,2.095727437,2.095727437,4.244076584,4.244076584,4.282022674,4.282022674,4.304196872,4.304196872,0,0,0,0,0,0,0,0,0,0,0,0,0.11189388,0.11189388,0.118803981,0.118803981,0.125865932,0.125865932,0.128422486,0.128422486,0.131209352,0.131209352,0.16328756,0.16328756,0.164025696,0.164025696,0.165303012,0.165303012,0.175675325,0.175675325,0.185462407,0.185462407,0.186375395,0.186375395,0.225111867,0.225111867,0.227214961,0.227214961,0.231143304,0.231143304,0.294141696,0.294141696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A04,36.8581052,36.8581052,36.8581052,73.51669472,73.51669472,73.51669472,7.457724254,7.457724254,12.47635229,12.47635229,12.5111932,12.5111932,10.42400817,10.42400817,10.49012648,10.49012648,13.07157897,13.07157897,0.5,0.5,0.5,0.5,0.5,0,0,0,8.566138012,8.566138012,8.782031487,8.782031487,10.13765868,10.13765868,10.2521048,10.2521048,10.25211011,10.25211011,10.58865263,10.58865263,17.80108205,17.80108205,18.22057834,18.22057834,18.46988662,18.46988662,0.857060002,0.857060002,0.907638624,0.907638624,0.907832906,0.907832906,0.96925958,0.96925958,0.977838862,0.977838862,1.204354699,1.204354699,1.255874962,1.255874962,1.303822906,1.303822906,1.456601159,1.456601159,1.459236418,1.459236418,1.626220163,1.626220163,1.637163389,1.637163389,1.648767912,1.648767912,2.867311423,2.867311423,2.886180216,2.886180216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.024136528,1.024136528,1.032392884,1.032392884,1.070508286,1.070508286,1.090144146,1.090144146,1.176732822,1.176732822,1.257375008,1.257375008,1.260768321,1.260768321,1.60648422,1.60648422,1.674786854,1.674786854,2.038591106,2.038591106,2.100516794,2.100516794,2.467650988,2.467650988,4.252760798,4.252760798,4.307214867,4.307214867,4.314553298,4.314553298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11138333,0.11138333,0.121268904,0.121268904,0.122696651,0.122696651,0.129233029,0.129233029,0.153687059,0.153687059,0.155223146,0.155223146,0.187661026,0.187661026,0.219984337,0.219984337,0.220048915,0.220048915,0.221513361,0.221513361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A05,36.8581052,36.8581052,36.8581052,73.51669472,73.51669472,73.51669472,7.689758696,7.689758696,12.44775332,12.44775332,12.91895457,12.91895457,7.64695197,7.64695197,12.21869353,12.21869353,12.91343644,12.91343644,0.5,0.5,0.5,0.5,0,0,0,0,6.942252884,6.942252884,7.44692703,7.44692703,10.31472163,10.31472163,10.48392692,10.48392692,10.56244859,10.56244859,10.70497702,10.70497702,18.03202611,18.03202611,18.54799531,18.54799531,19.19833295,19.19833295,0.723579034,0.723579034,0.764322732,0.764322732,0.985080689,0.985080689,0.987077528,0.987077528,1.00068928,1.00068928,1.213804191,1.213804191,1.306363504,1.306363504,1.447488084,1.447488084,1.62977029,1.62977029,1.676224157,1.676224157,1.700948906,1.700948906,2.871451837,2.871451837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799488172,0.799488172,0.804729752,0.804729752,1.135826039,1.135826039,1.154337742,1.154337742,1.184909347,1.184909347,1.292065946,1.292065946,1.384148452,1.384148452,2.029645823,2.029645823,2.069181122,2.069181122,4.241664781,4.241664781,4.296797473,4.296797473,4.301107093,4.301107093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087207206,0.087207206,0.114123393,0.114123393,0.134625705,0.134625705,0.168648635,0.168648635,0.178500262,0.178500262,0.210104946,0.210104946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A06,36.8581052,36.8581052,36.8581052,73.51669472,73.51669472,73.51669472,7.753037036,7.753037036,13.46862596,13.46862596,13.51449929,13.51449929,7.329860121,7.329860121,12.72209939,12.72209939,12.90648087,12.90648087,0.5,0.5,0.5,0,0,0,0,0,7.008861864,7.008861864,7.01232885,7.01232885,10.50291489,10.50291489,10.67585882,10.67585882,10.94982408,10.94982408,11.02238777,11.02238777,18.61164635,18.61164635,18.96693649,18.96693649,19.15685424,19.15685424,0.730514866,0.730514866,0.732756577,0.732756577,0.994263689,0.994263689,1.005960721,1.005960721,1.008290679,1.008290679,1.310477996,1.310477996,1.658132881,1.658132881,1.67514773,1.67514773,1.68912995,1.68912995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775873166,0.775873166,0.777103496,0.777103496,1.157505962,1.157505962,1.169519966,1.169519966,1.178322398,1.178322398,1.975578254,1.975578254,4.216636013,4.216636013,4.22383018,4.22383018,4.324547254,4.324547254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085138891,0.085138891,0.115498032,0.115498032,0.169064838,0.169064838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A07,36.8581052,36.8581052,36.8581052,73.51669472,73.51669472,73.51669472,7.707822588,7.707822588,12.39634194,12.39634194,12.40414382,12.40414382,8.555319205,8.555319205,11.9725795,11.9725795,12.03156971,12.03156971,0.5,0,0,0,0,0,0,0,7.555377541,7.555377541,7.598228026,7.598228026,10.32090997,10.32090997,10.39968256,10.39968256,10.46051531,10.46051531,10.50133572,10.50133572,18.59479163,18.59479163,20.97117146,20.97117146,21.09646848,21.09646848,0.999486247,0.999486247,1.314250484,1.314250484,1.649975183,1.649975183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.183656109,1.183656109,1.785663558,1.785663558,4.314991677,4.314991677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A08,36.8581052,36.8581052,36.8581052,73.51669472,73.51669472,73.51669472,7.585305385,7.585305385,12.39352171,12.39352171,12.9431016,12.9431016,8.086477033,8.086477033,12.30236465,12.30236465,12.59439948,12.59439948,0.5,0.5,0,0,0,0,0,0,7.259701844,7.259701844,7.330226772,7.330226772,10.35109056,10.35109056,10.54443807,10.54443807,10.60694171,10.60694171,10.67771325,10.67771325,18.60676312,18.60676312,19.24552898,19.24552898,20.85964663,20.85964663,0.743904287,0.743904287,0.987678105,0.987678105,1.003638582,1.003638582,1.338777253,1.338777253,1.664301513,1.664301513,1.68450932,1.68450932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83975798,0.83975798,1.159904183,1.159904183,1.209394178,1.209394178,1.88853358,1.88853358,4.264821205,4.264821205,4.309271495,4.309271495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117995106,0.117995106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A09,36.8581052,36.8581052,0,73.51669472,73.51669472,0,12.51240063,12.51240063,0,0,0,0,9.289800755,9.289800755,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,10.18362079,10.18362079,10.93447458,10.93447458,17.54761228,17.54761228,18.2074013,18.2074013,0,0,0,0,0,0,0,0,0,0,0.423433484,0.423433484,0.437994435,0.437994435,1.199540763,1.199540763,1.452475346,1.452475346,1.46562598,1.46562598,1.474390419,1.474390419,1.585244549,1.585244549,2.861530792,2.861530792,2.873587377,2.873587377,2.881875226,2.881875226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509330656,0.509330656,0.622993087,0.622993087,1.084395398,1.084395398,1.521166405,1.521166405,1.638523576,1.638523576,1.651427283,1.651427283,2.029469051,2.029469051,2.040017271,2.040017271,2.071010674,2.071010674,4.301520427,4.301520427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061949333,0.061949333,0.070519161,0.070519161,0.084519885,0.084519885,0.090973068,0.090973068,0.170824639,0.170824639,0.184227271,0.184227271,0.209454788,0.209454788,0.209985356,0.209985356,0.221199641,0.221199641,0.293945566,0.293945566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
